2022-12-13 19:40:45,441 INFO    MainThread:930988 [wandb_setup.py:_flush():68] Configure stats pid to 930988
2022-12-13 19:40:45,442 INFO    MainThread:930988 [wandb_setup.py:_flush():68] Loading settings from /home/stu4/.config/wandb/settings
2022-12-13 19:40:45,442 INFO    MainThread:930988 [wandb_setup.py:_flush():68] Loading settings from /home/stu4/AIProject2/wandb/settings
2022-12-13 19:40:45,442 INFO    MainThread:930988 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-13 19:40:45,442 INFO    MainThread:930988 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/home/stu4/AIProject2/train.py'}
2022-12-13 19:40:45,442 INFO    MainThread:930988 [wandb_init.py:_log_setup():476] Logging user logs to /home/stu4/AIProject2/wandb/run-20221213_194045-28fn0cs0/logs/debug.log
2022-12-13 19:40:45,442 INFO    MainThread:930988 [wandb_init.py:_log_setup():477] Logging internal logs to /home/stu4/AIProject2/wandb/run-20221213_194045-28fn0cs0/logs/debug-internal.log
2022-12-13 19:40:45,442 INFO    MainThread:930988 [wandb_init.py:init():516] calling init triggers
2022-12-13 19:40:45,443 INFO    MainThread:930988 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'epochs': 10, 'lr': 0.001, 'batch_size': 64, 'data': 'inbalanced', 'model': 'mynet', 'optimizer': None, 'BatchNorm': False, 'transform': False, 'config_name': 'mynet_inbalanced'}
2022-12-13 19:40:45,443 INFO    MainThread:930988 [wandb_init.py:init():569] starting backend
2022-12-13 19:40:45,443 INFO    MainThread:930988 [wandb_init.py:init():573] setting up manager
2022-12-13 19:40:45,446 INFO    MainThread:930988 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-12-13 19:40:45,448 INFO    MainThread:930988 [wandb_init.py:init():580] backend started and connected
2022-12-13 19:40:45,449 INFO    MainThread:930988 [wandb_init.py:init():658] updated telemetry
2022-12-13 19:40:45,452 INFO    MainThread:930988 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-12-13 19:40:46,350 INFO    MainThread:930988 [wandb_run.py:_on_init():2006] communicating current version
2022-12-13 19:40:46,765 INFO    MainThread:930988 [wandb_run.py:_on_init():2010] got version response 
2022-12-13 19:40:46,765 INFO    MainThread:930988 [wandb_init.py:init():728] starting run threads in backend
2022-12-13 19:40:48,781 INFO    MainThread:930988 [wandb_run.py:_console_start():1986] atexit reg
2022-12-13 19:40:48,781 INFO    MainThread:930988 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2022-12-13 19:40:48,781 INFO    MainThread:930988 [wandb_run.py:_redirect():1909] Wrapping output streams.
2022-12-13 19:40:48,781 INFO    MainThread:930988 [wandb_run.py:_redirect():1931] Redirects installed.
2022-12-13 19:40:48,782 INFO    MainThread:930988 [wandb_init.py:init():765] run started, returning control to user process
2022-12-13 19:43:44,024 WARNING MsgRouterThr:930988 [router.py:message_loop():77] message_loop has been closed
